TradeID,TransactionCodeOverrideDescription,TradeDate,SettledDate,SuperSheetDate,TradeAmount,System,DealerNum,DealerBranchBranchCode,RepCode,FirmId,FirmName,OfficeAddressLine1,OfficeCity,OfficeRegionRefCode,OfficePostalCode,PersonFirstName,PersonLastName,LineOfBusiness,Channel,Region,Territory,ProductNasdaqSymbol,ProductName,AccountTANumber,AccountId,ExternalAccountNumber,HoldingId,HoldingExternalAccountNumber,HoldingName
31488,Redemption,26-Aug-19,27-Aug-19,28-Aug-19,400,UMB,DLJP,P3M,CVH,45511,"Telemus Capital, LLC",2 TOWNE SQ,SOUTHFIELD,US-MI,48076-3769,Lyle,Wolberg,Mutual Fund,RIA,Midwest,Sindici,ARSQX,Aristotle Value Equity Fund - Class I,413008780,50668,P3M403009,57795,P3M403009,PERSHING LLC
32838,Redemption,26-Sep-19,27-Sep-19,30-Sep-19,388.89,UMB,671,0,9999,30431,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",4800 DEER LAKE DR E,JACKSONVILLE,US-FL,32246-6486,Merrill Lynch,House Account,Mutual Fund,Broker Dealer,House,House,ARSOX,Aristotle/Saul Global Opportunities Fund - Class I,413000530,14,413000530,15,413000530,MERRILL LYNCH PIERCE FENNER & SMITHFOR THE SOLE BENEFIT OF ITS CUSTOMERS
30777,Redemption,9-Aug-19,12-Aug-19,13-Aug-19,370.48,UMB,671,0,9999,30431,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",4800 DEER LAKE DR E,JACKSONVILLE,US-FL,32246-6486,Merrill Lynch,House Account,Mutual Fund,Broker Dealer,House,House,ARSOX,Aristotle/Saul Global Opportunities Fund - Class I,413000530,14,413000530,15,413000530,MERRILL LYNCH PIERCE FENNER & SMITHFOR THE SOLE BENEFIT OF ITS CUSTOMERS
33743,Redemption,23-Sep-19,25-Sep-19,24-Sep-19,359.67,MSSB,15,496,496-176/C,31478,Morgan Stanley Smith Barney LLC,100 N WESTLAKE BLVD,WESTLAKE VILLAGE,US-CA,91362-3752,Dennis / Laura / P / Geoff,Nagdeman / Norris / Raulinaitis / Shrager,Mutual Fund,Broker Dealer,Southern California,Helton,ARSFX,Aristotle International Equity Fund - Class I,4.96E+11,58012,,66228,,MSSB C/F
33765,Redemption,26-Sep-19,30-Sep-19,26-Sep-19,356.58,MSSB,15,167,167-027/R,31478,Morgan Stanley Smith Barney LLC,16000 LOS GATOS BLVD,LOS GATOS,US-CA,95032-3420,Scott,Cruse,Mutual Fund,Broker Dealer,Northwest,Sykes,ARSQX,Aristotle Value Equity Fund - Class I,1.67E+11,58318,,66534,,Morgan Stanley Smith Barney LLC
32181,Redemption,10-Sep-19,11-Sep-19,12-Sep-19,349.4,UMB,671,0,9999,30431,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",4800 DEER LAKE DR E,JACKSONVILLE,US-FL,32246-6486,Merrill Lynch,House Account,Mutual Fund,Broker Dealer,House,House,ARSOX,Aristotle/Saul Global Opportunities Fund - Class I,413000530,14,413000530,15,413000530,MERRILL LYNCH PIERCE FENNER & SMITHFOR THE SOLE BENEFIT OF ITS CUSTOMERS
33787,Redemption,30-Sep-19,2-Oct-19,30-Sep-19,342.71,MSSB,15,122,122-510/C,31478,Morgan Stanley Smith Barney LLC,3562 ROUND BARN CIR,SANTA ROSA,US-CA,95403-0179,Todd / Anthony / Matthew,Au / Parmisano / Veal,Mutual Fund,Broker Dealer,Northwest,Sykes,ARSQX,Aristotle Value Equity Fund - Class I,1.22E+11,57873,,66089,,Morgan Stanley Smith Barney LLC
33713,Redemption,20-Sep-19,24-Sep-19,20-Sep-19,339.77,MSSB,15,239,239-165/Q,31478,Morgan Stanley Smith Barney LLC,6700 E PACIFIC COAST HWY,LONG BEACH,US-CA,90803-4212,David,Tuebner,Mutual Fund,Broker Dealer,Southern California,Helton,ARSQX,Aristotle Value Equity Fund - Class I,2.39E+11,58078,,66294,,Morgan Stanley Smith Barney LLC
30053,Redemption,24-Jul-19,25-Jul-19,26-Jul-19,336.07,UMB,DLJP,P3M,CVH,45511,"Telemus Capital, LLC",2 TOWNE SQ,SOUTHFIELD,US-MI,48076-3769,Lyle,Wolberg,Mutual Fund,RIA,Midwest,Sindici,ARSQX,Aristotle Value Equity Fund - Class I,413008816,50671,P3M402944,57798,P3M402944,PERSHING LLC
33395,Redemption,31-Jul-19,2-Aug-19,31-Jul-19,334.79,MSSB,15,970,97,31478,Morgan Stanley Smith Barney LLC,HARBORSIDE FINANCIAL CENTER,JERSEY CITY,US-NJ,7311,Morgan Stanley Smith Barney LLC,House Account,Mutual Fund,Broker Dealer,Northeast,Carroll,ARSQX,Aristotle Value Equity Fund - Class I,4.78E+11,58101,,66317,,Morgan Stanley Smith Barney LLC
